date;Frankfurt am Main (Eigentumswohnungen);Hamburg (Eigentumswohnungen);München (Eigentumswohnungen);GREIX (Eigentumswohnungen)
Q1 1990;1700;1400;2200;1300
Q2 1990;1800;1300;2300;1400
Q3 1990;1800;1300;2300;1400
Q4 1990;1900;1400;2400;1400
Q1 1991;2100;1300;2500;1500
Q2 1991;2000;1300;2500;1500
Q3 1991;2100;1400;2600;1500
Q4 1991;2200;1700;2600;1600
Q1 1992;2300;1700;2700;1600
Q2 1992;2200;1900;2700;1600
Q3 1992;2200;1900;2800;1600
Q4 1992;2200;1800;2800;1700
Q1 1993;2100;1700;2800;1700
Q2 1993;2200;1900;2900;1700
Q3 1993;2300;1900;2900;1700
Q4 1993;2400;1900;3000;1800
Q1 1994;2400;2000;3000;1700
Q2 1994;2300;2100;2900;1800
Q3 1994;2400;2100;2900;1700
Q4 1994;2400;2200;2900;1800
Q1 1995;2200;1900;2700;1700
Q2 1995;2200;2000;2600;1700
Q3 1995;2300;2000;2700;1700
Q4 1995;2300;2000;2700;1700
Q1 1996;2000;1900;2500;1700
Q2 1996;2100;1900;2600;1700
Q3 1996;2100;1900;2600;1700
Q4 1996;2100;1800;2600;1700
Q1 1997;2100;1700;2600;1600
Q2 1997;2200;1900;2600;1600
Q3 1997;2200;1900;2500;1600
Q4 1997;2200;1800;2500;1700
Q1 1998;2100;1900;2500;1600
Q2 1998;2000;1900;2600;1600
Q3 1998;2100;1900;2600;1600
Q4 1998;2100;1900;2500;1700
Q1 1999;2100;1900;2700;1600
Q2 1999;2100;1900;2700;1600
Q3 1999;2200;1900;2700;1600
Q4 1999;2100;1800;2700;1600
Q1 2000;2200;1800;2700;1600
Q2 2000;2200;1800;2700;1600
Q3 2000;2200;1900;2600;1600
Q4 2000;2100;1900;2700;1600
Q1 2001;2100;1900;2800;1500
Q2 2001;2300;2000;2900;1600
Q3 2001;2300;1900;2800;1600
Q4 2001;2300;1900;2900;1600
Q1 2002;2200;2000;2900;1500
Q2 2002;2200;2100;2900;1600
Q3 2002;2000;2000;2900;1500
Q4 2002;2100;2000;2800;1500
Q1 2003;2100;2000;2800;1500
Q2 2003;2100;2100;2900;1500
Q3 2003;2100;2100;2900;1500
Q4 2003;2000;1900;2900;1500
Q1 2004;1900;2100;2900;1500
Q2 2004;2100;2000;2900;1500
Q3 2004;2000;2100;2900;1500
Q4 2004;1900;1900;2800;1500
Q1 2005;2000;2000;2800;1500
Q2 2005;2000;2000;2800;1500
Q3 2005;2000;2000;2900;1500
Q4 2005;1900;2000;2900;1500
Q1 2006;2100;2200;2800;1500
Q2 2006;2200;2200;2800;1500
Q3 2006;2200;2200;2900;1500
Q4 2006;2100;2300;2800;1500
Q1 2007;2200;2200;2800;1500
Q2 2007;2200;2100;2900;1500
Q3 2007;2200;2100;2800;1500
Q4 2007;2200;2100;2900;1500
Q1 2008;2200;2100;2900;1500
Q2 2008;2300;2100;2900;1500
Q3 2008;2300;2100;3000;1500
Q4 2008;2300;2200;2900;1600
Q1 2009;2300;2200;2900;1500
Q2 2009;2500;2400;3000;1600
Q3 2009;2400;2400;3100;1600
Q4 2009;2400;2300;3200;1600
Q1 2010;2500;2400;3200;1600
Q2 2010;2500;2500;3200;1700
Q3 2010;2500;2500;3300;1700
Q4 2010;2600;2400;3700;1700
Q1 2011;2700;2700;3500;1700
Q2 2011;2700;2800;3700;1800
Q3 2011;2900;2800;3700;1800
Q4 2011;2900;3000;4000;1900
Q1 2012;2800;2800;4000;1900
Q2 2012;3000;2900;4100;2000
Q3 2012;3000;3000;4400;2000
Q4 2012;3200;3100;4600;2000
Q1 2013;3200;3100;4500;2100
Q2 2013;3300;3100;4700;2100
Q3 2013;3300;3300;4800;2200
Q4 2013;3300;3400;4800;2200
Q1 2014;3400;3300;5000;2300
Q2 2014;3600;3400;5200;2300
Q3 2014;3600;3500;5200;2300
Q4 2014;3600;3700;5400;2400
Q1 2015;3700;3600;5500;2400
Q2 2015;3900;3800;5700;2500
Q3 2015;3900;3700;5900;2600
Q4 2015;3800;3800;6100;2600
Q1 2016;3900;3900;6200;2700
Q2 2016;3900;4000;6400;2700
Q3 2016;4500;4100;6600;2800
Q4 2016;4500;4200;6800;2900
Q1 2017;4600;4300;6700;3000
Q2 2017;4800;4400;6900;3100
Q3 2017;4800;4400;7100;3200
Q4 2017;5100;4500;7200;3200
Q1 2018;4900;4700;7400;3300
Q2 2018;5400;4700;7500;3400
Q3 2018;5400;4800;7700;3500
Q4 2018;5200;4800;7900;3500
Q1 2019;5400;4800;7900;3600
Q2 2019;5700;5000;7900;3700
Q3 2019;5800;5200;8300;3800
Q4 2019;5900;5300;8500;3900
Q1 2020;5900;5400;8800;4000
Q2 2020;5800;5400;8700;4000
Q3 2020;6100;5900;8900;4100
Q4 2020;6100;6200;9300;4200
Q1 2021;6500;6400;9500;4400
Q2 2021;6600;6500;10000;4600
Q3 2021;6900;6800;10100;4800
Q4 2021;7000;6900;10300;4900
Q1 2022;7000;7000;10300;5000
Q2 2022;6700;6900;10400;5100
Q3 2022;6100;6700;9900;5000
Q4 2022;5700;6500;9300;4700
Q1 2023;5600;6100;9000;4600
Q2 2023;5300;6000;8900;4500
Q3 2023;5400;5900;8600;4400
Q4 2023;5300;5900;8500;4400
Q1 2024;5500;5800;8500;4400
Q2 2024;5800;6400;8600;4400
Q3 2024;5700;6300;8600;4400
Q4 2024;5900;6500;8700;4500
Q1 2025;5700;;8800;4500
Q2 2025;5900;;8900;4500
Q3 2025;6000;;8900;4500
Q4 2025;5900;;;4500
